emotion,emotion_encoded
happy,3
neutral,4
neutral,4
neutral,4
surprised,6
surprised,6
happy,3
surprised,6
surprised,6
neutral,4
surprised,6
surprised,6
surprised,6
neutral,4
happy,3
surprised,6
happy,3
surprised,6
neutral,4
happy,3
neutral,4
happy,3
surprised,6
surprised,6
neutral,4
neutral,4
surprised,6
neutral,4
surprised,6
surprised,6
neutral,4
surprised,6
surprised,6
neutral,4
neutral,4
happy,3
neutral,4
happy,3
surprised,6
surprised,6
surprised,6
surprised,6
surprised,6
happy,3
surprised,6
surprised,6
surprised,6
happy,3
happy,3
happy,3
happy,3
happy,3
happy,3
happy,3
happy,3
happy,3
happy,3
surprised,6
surprised,6
surprised,6
neutral,4
surprised,6
surprised,6
surprised,6
disgust,1
neutral,4
happy,3
surprised,6
neutral,4
happy,3
happy,3
surprised,6
neutral,4
surprised,6
neutral,4
neutral,4
surprised,6
neutral,4
neutral,4
neutral,4
neutral,4
happy,3
happy,3
happy,3
neutral,4
sad,5
surprised,6
surprised,6
surprised,6
surprised,6
surprised,6
surprised,6
surprised,6
happy,3
surprised,6
surprised,6
neutral,4
neutral,4
surprised,6
sad,5
surprised,6
surprised,6
surprised,6
surprised,6
neutral,4
surprised,6
surprised,6
disgust,1
surprised,6
surprised,6
surprised,6
surprised,6
surprised,6
surprised,6
surprised,6
neutral,4
surprised,6
neutral,4
neutral,4
neutral,4
neutral,4
neutral,4
neutral,4
neutral,4
surprised,6
surprised,6
neutral,4
happy,3
happy,3
neutral,4
surprised,6
neutral,4
sad,5
surprised,6
neutral,4
surprised,6
surprised,6
happy,3
happy,3
surprised,6
surprised,6
surprised,6
surprised,6
surprised,6
surprised,6
neutral,4
neutral,4
neutral,4
happy,3
surprised,6
sad,5
happy,3
surprised,6
surprised,6
sad,5
sad,5
happy,3
surprised,6
surprised,6
surprised,6
surprised,6
happy,3
surprised,6
sad,5
happy,3
happy,3
surprised,6
happy,3
surprised,6
happy,3
surprised,6
happy,3
surprised,6
happy,3
surprised,6
happy,3
happy,3
surprised,6
neutral,4
neutral,4
neutral,4
neutral,4
neutral,4
happy,3
neutral,4
surprised,6
neutral,4
neutral,4
neutral,4
neutral,4
neutral,4
neutral,4
neutral,4
happy,3
surprised,6
sad,5
happy,3
neutral,4
happy,3
happy,3
neutral,4
surprised,6
surprised,6
surprised,6
happy,3
surprised,6
surprised,6
happy,3
surprised,6
surprised,6
surprised,6
happy,3
neutral,4
neutral,4
surprised,6
neutral,4
surprised,6
surprised,6
disgust,1
surprised,6
surprised,6
disgust,1
surprised,6
neutral,4
neutral,4
neutral,4
disgust,1
neutral,4
neutral,4
neutral,4
happy,3
neutral,4
neutral,4
surprised,6
neutral,4
happy,3
neutral,4
happy,3
neutral,4
neutral,4
neutral,4
neutral,4
disgust,1
neutral,4
neutral,4
neutral,4
happy,3
neutral,4
neutral,4
happy,3
happy,3
happy,3
neutral,4
happy,3
neutral,4
happy,3
neutral,4
happy,3
happy,3
happy,3
happy,3
surprised,6
surprised,6
surprised,6
happy,3
surprised,6
surprised,6
surprised,6
sad,5
neutral,4
neutral,4
neutral,4
surprised,6
neutral,4
surprised,6
neutral,4
happy,3
neutral,4
happy,3
neutral,4
neutral,4
neutral,4
happy,3
neutral,4
surprised,6
neutral,4
neutral,4
neutral,4
happy,3
surprised,6
surprised,6
surprised,6
happy,3
surprised,6
neutral,4
surprised,6
surprised,6
surprised,6
surprised,6
surprised,6
sad,5
surprised,6
surprised,6
surprised,6
surprised,6
surprised,6
surprised,6
surprised,6
surprised,6
surprised,6
neutral,4
surprised,6
neutral,4
neutral,4
neutral,4
neutral,4
neutral,4
neutral,4
neutral,4
neutral,4
neutral,4
neutral,4
sad,5
neutral,4
neutral,4
neutral,4
happy,3
neutral,4
neutral,4
happy,3
neutral,4
happy,3
neutral,4
happy,3
neutral,4
happy,3
neutral,4
happy,3
neutral,4
happy,3
neutral,4
happy,3
neutral,4
happy,3
neutral,4
happy,3
neutral,4
happy,3
neutral,4
surprised,6
neutral,4
surprised,6
neutral,4
surprised,6
neutral,4
neutral,4
neutral,4
surprised,6
neutral,4
happy,3
neutral,4
happy,3
neutral,4
surprised,6
sad,5
sad,5
sad,5
sad,5
sad,5
sad,5
sad,5
happy,3
sad,5
sad,5
