Jacob: NNP
,: ,
you: PRP
have: VBP
the: DT
luxury: NN
of: IN
having: VBG
a: DT
haircut: NN
that: WDT
rarely: RB
needs: VBZ
styling: NN
.: .
I: PRP
don: VBP
’: JJ
t: NN
.: .
I: PRP
have: VBP
to: TO
set: VB
aside: RP
about: IN
an: DT
hour: NN
and: CC
a: DT
half: NN
to: TO
get: VB
ready: JJ
in: IN
the: DT
mornings: NNS
.: .
Every: DT
day: NN
,: ,
I: PRP
wake: VBP
up: RB
and: CC
head: VB
straight: NN
for: IN
the: DT
shower: NN
.: .
Every: JJ
second: JJ
day: NN
,: ,
I: PRP
wash: VBP
my: PRP$
hair: NN
.: .
If: IN
it: PRP
’: VBZ
s: PRP
a: DT
hair-washing: JJ
day: NN
,: ,
I: PRP
frequently: RB
need: VBP
to: TO
wash: VB
my: PRP$
hair: NN
twice: RB
because: IN
it: PRP
gets: VBZ
really: RB
oily: RB
.: .
Then: RB
I: PRP
usually: RB
put: VBD
in: IN
a: DT
conditioner: NN
and: CC
have: VBP
to: TO
rinse: VB
that: DT
out: RP
too: RB
.: .
Because: IN
my: PRP$
hair: NN
is: VBZ
so: RB
long: RB
,: ,
I: PRP
seldom: RB
manage: NN
to: TO
take: VB
a: DT
shower: NN
in: IN
under: IN
twenty: NN
minutes: NNS
.: .
Afterwards: NNS
,: ,
I: PRP
often: RB
put: VBD
on: IN
a: DT
pot: NN
of: IN
coffee: NN
and: CC
get: VB
dressed: VBN
while: IN
I: PRP
wait: VBP
for: IN
it: PRP
to: TO
brew: VB
.: .
I: PRP
take: VBP
a: DT
long: JJ
time: NN
to: TO
get: VB
dressed: VBN
in: IN
the: DT
morning: NN
.: .
Every: DT
now: RB
and: CC
then: RB
I: PRP
remember: VBP
to: TO
choose: VB
my: PRP$
outfit: NN
the: DT
night: NN
before: IN
,: ,
but: CC
usually: RB
I: PRP
do: VBP
it: PRP
in: IN
the: DT
morning: NN
.: .
In: IN
all: DT
,: ,
getting: VBG
dressed: VBN
takes: VBZ
about: IN
half: PDT
an: DT
hour: NN
,: ,
at: IN
which: WDT
time: NN
my: PRP$
hair: NN
is: VBZ
now: RB
semi-dry: JJ
so: IN
then: RB
I: PRP
have: VBP
to: TO
style: NN
my: PRP$
hair: NN
.: .
From: IN
time: NN
to: TO
time: NN
I: PRP
’: VBP
ll: JJ
put: VB
my: PRP$
hair: NN
up: RB
,: ,
but: CC
oftentimes: VBZ
I: PRP
bloody: VBP
it: PRP
straight: JJ
.: .
And: CC
then: RB
,: ,
because: IN
of: IN
the: DT
texture: NN
of: IN
my: PRP$
hair: NN
,: ,
I: PRP
regularly: RB
have: VBP
to: TO
flat-iron: VB
it: PRP
to: TO
keep: VB
it: PRP
from: IN
frizzing: VBG
.: .
That: DT
’: VBZ
s: VBZ
another: DT
twenty: NN
minutes: NNS
or: CC
so: RB
.: .
After: IN
that: DT
,: ,
I: PRP
have: VBP
my: PRP$
daily: JJ
makeup: NN
routine: NN
.: .
